objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
tiutchev012,videnie-2.jpeg,,Иллюстрация к стихотворению «Видение»,image/jpeg,"Тогда густеет ночь, как хаос на водах,
Беспамятство, как Атлас, давит сушу...
Лишь музы девственную душу
В пророческих тревожат боги снах!","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-16,,single-page; photographs,Recreation; Latah County,,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/40.html
tiutchev013,poslednii-kataklizm.jpeg,,Иллюстрация к стихотворению «Последний катаклизм»,image/jpeg,"Когда пробьет последний час природы,
Состав частей разрушится земных:
Всё зримое опять покроют воды,
И божий лик изобразится в них!","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-16,,single-page; photographs,Robinson's Writings; Psychiana Journal,,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/51.html
tiutchev014,bezumie.jpeg,,Иллюстрация к стихотворению «Безумие»,application/pdf,"Там, где с землею обгорелой
Слился, как дым, небесный свод, –
Там в беззаботности веселой
Безумье жалкое живет.","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-16,,single-page; photographs,"Moscow, Idaho; World War;",,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/42.html
tiutchev015,bezumie-2.jpeg,,Иллюстрация к стихотворению «Безумие»,application/pdf,"Под раскаленными лучами,
Зарывшись в пламенных песках,
Оно стеклянными очами
Чего-то ищет в облаках.","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-16,,single-page; photographs,"Power; Spirit of God, God-Power;  Free; Information",,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/42.html
tiutchev016,bezumie-3.jpeg,,Иллюстрация к стихотворению «Безумие»,application/pdf,"То вспрянет вдруг и, чутким ухом
Припав к растреснутой земле,
Чему-то внемлет жадным слухом
С довольством тайным на челе.","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-16,,single-page; photographs,Commitment; Delinquent; Students; Lessons,,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/42.html
tiutchev017,bezumie-4.jpeg,,Иллюстрация к стихотворению «Безумие»,application/pdf,"И мнит, что слышит струй кипенье,
Что слышит ток подземных вод,
И колыбельное их пенье,
И шумный из земли исход!.","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-16,,single-page; photographs,Sale Agency; Money-Making Opportunity; Students; Territory; Spreading Psychiana,,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/42.html
tiutchev018,cicero.jpeg,,Иллюстрация к стихотворению «Цицерон»,image/jpeg,"Оратор римский говорил
Средь бурь гражданских и тревоги:
«Я поздно встал – и на дороге
Застигнут ночью Рима был!»
Так!.. Но, прощаясь с римской славой,
С Капитолийской высоты
Во всем величье видел ты
Закат звезды ее кровавый!..","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-16,,single-page; photographs,"Moscow, Idaho",,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/69.html
tiutchev019,cicero-2.jpeg,,Иллюстрация к стихотворению «Цицерон»,image/jpeg,"Он их высоких зрелищ зритель,
Он в их совет допущен был –
И заживо, как небожитель,
Из чаши их бессмертье пил!","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-16,,single-page; photographs,Psychiana Headquarters; Psychiana Staff; Bookkeeping; Mailings,,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/69.html
tiutchev020,silentium.jpeg,,Иллюстрация к стихотворению «Silentium!»,image/jpeg,"Молчи, скрывайся и таи
И чувства и мечты свои –
Пускай в душевной глубине
Встают и заходят оне
Безмолвно, как звезды в ночи, –
Любуйся ими – и молчи.","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-17,,single-page; photographs,"Moscow, Idaho; Drug Store Clerk",,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/71.html
tiutchev021,silentium-2.jpeg,,Иллюстрация к стихотворению «Silentium!»,image/jpeg,"Как сердцу высказать себя?
Другому как понять тебя?
Поймет ли он, чем ты живешь?
Мысль изреченная есть ложь.
Взрывая, возмутишь ключи, –
Питайся ими – и молчи.","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-17,,single-page; photographs,Daily Idahoan; Psychiana Staff,,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/71.html
